planeID,aircraftTypeCode,operator,code,modeS,serialNumber,age,DATE,FROM,TO,FLIGHT,FLIGHT TIME,STD,ATD,STA,ONTIME,STATUS
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,17 Dec 2024,Macau (MFM),Seoul (ICN),NX826,3:02,6:00 PM,6:18 PM,10:45 PM,green,Landed 10:20 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,17 Dec 2024,Osaka (KIX),Macau (MFM),NX855,4:19,1:45 PM,1:55 PM,5:10 PM,green,Landed 5:14 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,17 Dec 2024,Macau (MFM),Osaka (KIX),NX856,2:55,8:20 AM,8:37 AM,12:45 PM,green,Landed 12:32 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,16 Dec 2024,Nanjing (NKG),Macau (MFM),NX127,2:15,4:40 PM,5:15 PM,7:55 PM,green,Landed 7:30 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,16 Dec 2024,Macau (MFM),Nanjing (NKG),NX128,1:47,1:30 PM,2:09 PM,3:50 PM,green,Landed 3:56 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,16 Dec 2024,Jakarta (CGK),Macau (MFM),NX909,4:26,7:00 AM,7:12 AM,12:50 PM,green,Landed 12:38 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,15 Dec 2024,Macau (MFM),Jakarta (CGK),NX910,4:33,8:55 PM,9:29 PM,12:45 AM,yellow,Landed 1:02 AM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,15 Dec 2024,Nanjing (NKG),Macau (MFM),NX127,2:21,4:40 PM,5:32 PM,7:55 PM,green,Landed 7:53 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,15 Dec 2024,Macau (MFM),Nanjing (NKG),NX128,2:00,1:30 PM,2:31 PM,3:50 PM,yellow,Landed 4:31 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,15 Dec 2024,Jakarta (CGK),Macau (MFM),NX909,4:34,7:00 AM,7:17 AM,12:50 PM,green,Landed 12:52 PM
 B-MBO ,A20N,Air Macau,NX / AMU,7816AF,08820,5 years,14 Dec 2024,Macau (MFM),Jakarta (CGK),NX910,4:19,8:55 PM,9:35 PM,12:45 AM,green,Landed 12:55 AM
